λ,μ
0.6701690398255487,0.7158250121504443
0.6899926216215124,0.6184870041283523
0.9222506836890635,0.6702432716306903
0.7353405235577177,0.5836163186039246
1.5661196554319026,0.9556018955904001
0.5223775197982601,0.5667372480860897
0.9389623362033567,0.7275105193200728
0.8353481616269834,0.6728571717119751
0.726637576906912,0.718917004942144
1.3796107651644882,0.9659804278226176
1.3097765433611608,0.980399125191792
0.7900714032529241,0.7848955115953109
1.048978770185419,0.7121151012790805
1.493381672158654,1.062148141037666
1.226130506458452,0.9658505212120565
0.9047928012019804,0.7630539609158284
1.135322858652617,0.8316256263917178
